feature,role,dtype,description,in_model_features
nr_inquiries_in_last_6_months_not_recent_log1p,log_numeric,float64,nr_inquiries_in_last_6_months_not_recent に対して log1p 変換を適用した列。,True
nr_installment_trades_with_balance_is_special_8,special_value_flag,int64,nr_installment_trades_with_balance が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
nr_installment_trades_with_balance_log1p,log_numeric,float64,nr_installment_trades_with_balance に対して log1p 変換を適用した列。,True
nr_revolving_trades_with_balance_is_special_8,special_value_flag,int64,nr_revolving_trades_with_balance が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
nr_revolving_trades_with_balance_log1p,log_numeric,float64,nr_revolving_trades_with_balance に対して log1p 変換を適用した列。,True
nr_total_trades,base_numeric,float64,総取引件数。,True
nr_trades_initiated_in_last_year_log1p,log_numeric,float64,nr_trades_initiated_in_last_year に対して log1p 変換を適用した列。,True
nr_trades_insolvent_for_over_60_days_log1p,log_numeric,float64,nr_trades_insolvent_for_over_60_days に対して log1p 変換を適用した列。,True
nr_trades_insolvent_for_over_90_days_log1p,log_numeric,float64,nr_trades_insolvent_for_over_90_days に対して log1p 変換を適用した列。,True
number_of_satisfactory_trades,base_numeric,float64,問題なく維持されている取引口座の件数。,True
percentage_of_installment_trades,base_numeric,float64,分割払い型取引の割合。,True
percentage_of_legal_trades,base_numeric,float64,重大な問題のない正常取引の割合。,True
percentage_trades_with_balance,base_numeric,float64,残高がある取引の割合。,True
percentage_trades_with_balance_is_special_8,special_value_flag,int64,percentage_trades_with_balance が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
recent_activity_gap,derived_numeric,float64,初回取引からの経過月数と直近取引からの経過月数の差。最近どれだけ取引活動があったかを表す指標。,True
recent_inquiry_share,derived_numeric,float64,過去6か月照会のうち、ごく最近を除いた照会が占める比率。,True
revolving_installment_burden_gap,derived_numeric,float64,リボルビング型負担率と分割払い型負担率の差。,True
satisfactory_trade_ratio_log1p,log_numeric,float64,satisfactory_trade_ratio に対して log1p 変換を適用した列。,True
is_at_risk,target,int64,目的変数。1 は高リスク、0 は低リスクを表します。,False
